ADM1_NAME,ADM2_NAME,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
New South Wales,Port Macquarie-Hastings (A),0.7522251,0.7648617,0.76824296,0.7685233,0.7484458,0.7575322,0.7623292,0.7580164,0.7672573,0.7230464,0.75009876,0.7498668,0.72768253,0.76216954,0.77002364,0.7626691,0.7638916,0.7804063,0.761296,0.75895345,0.7127786,0.73838574,0.75756323,0.76706177,0.7614163,0.76557064,0.7712964,0.7668785,0.77832216,0.7819861,0.7630628,0.7654501,0.74843895,0.7787907,0.76711756,0.7720957,0.76592916,0.7017853,0.75355923,0.77021545,0.7826578
New South Wales,Shoalhaven (C),0.6994987,0.7114045,0.7362493,0.7226686,0.7146629,0.72003865,0.7186136,0.7247126,0.73380685,0.70007515,0.724923,0.71904093,0.69782317,0.71615815,0.7247778,0.71839076,0.7100963,0.7310936,0.73612016,0.7352319,0.6864379,0.6810453,0.6977605,0.72357947,0.70688576,0.7331513,0.73796844,0.70001644,0.7419509,0.7633432,0.74486303,0.7408522,0.737432,0.7579309,0.74812037,0.74489385,0.7174951,0.7251157,0.6315894,0.72855765,0.7437793
New South Wales,Singleton (A),0.6078705,0.60868067,0.6490699,0.6214528,0.59822077,0.63015264,0.64282984,0.63047403,0.6449781,0.5725944,0.62915623,0.6318461,0.58174574,0.6130874,0.6188706,0.6095648,0.63340485,0.64219326,0.6558845,0.6627155,0.5926585,0.5979375,0.61104745,0.6240096,0.56530464,0.6084986,0.65529996,0.63053226,0.6616095,0.6670182,0.6404842,0.6366412,0.62391955,0.6590448,0.6489724,0.63248384,0.5960808,0.5875101,0.6282129,0.6756284,0.6864876
New South Wales,Snowy River (A),0.47494668,0.54730856,0.55811024,0.5242627,0.500793,0.5040386,0.53735113,0.56421864,0.5513627,0.51231223,0.5567962,0.5611768,0.52969337,0.55222476,0.5391837,0.5100481,0.51312524,0.5330119,0.55898535,0.57096004,0.54333085,0.47330233,0.46291417,0.5192389,0.47415218,0.53389174,0.5007487,0.49047202,0.5681589,0.57087845,0.57344854,0.5306912,0.5837548,0.5867566,0.56698716,0.5748329,0.5089453,0.5270711,0.5404443,0.58852136,0.62309325
New South Wales,Tenterfield (A),0.6047825,0.6448209,0.6482687,0.61575437,0.59699583,0.63689536,0.6403188,0.62143385,0.6256749,0.5785511,0.62079775,0.5941383,0.57300776,0.60717,0.6459713,0.6220328,0.6279114,0.6540434,0.5976381,0.6297444,0.55125886,0.5993671,0.62028605,0.59704876,0.62155515,0.6009981,0.6285029,0.61815894,0.65804243,0.65903246,0.6271044,0.6442849,0.5946356,0.6660632,0.63879544,0.6506129,0.6170795,0.50900096,0.5998608,0.66232324,0.6613432
New South Wales,Tumbarumba (A),0.606247,0.6466842,0.66353256,0.630175,0.6470114,0.6418001,0.6357711,0.6705856,0.6543085,0.6212383,0.65693516,0.68005735,0.64770633,0.66937727,0.6835728,0.64132214,0.64436567,0.6624321,0.6649672,0.6822151,0.64959806,0.5637619,0.61497915,0.6351635,0.59850764,0.61982167,0.64473724,0.6422762,0.67805445,0.7007548,0.68082154,0.66590166,0.66843295,0.67707783,0.6801619,0.6932522,0.66263396,0.67335814,0.6342709,0.6659332,0.68839866
New South Wales,Walcha (A),0.6063337,0.66917396,0.68878585,0.6615188,0.6207413,0.6578336,0.669729,0.66665435,0.68541956,0.61004335,0.6516747,0.6480004,0.6088705,0.65564287,0.67900515,0.66220444,0.67265123,0.6871058,0.66916627,0.6824535,0.5961143,0.665391,0.6519747,0.6444207,0.6252274,0.66196775,0.6697359,0.6667949,0.7010589,0.70093465,0.6596195,0.6445932,0.63847065,0.67503256,0.6541036,0.6739031,0.6115311,0.54210657,0.67141044,0.68355554,0.70143074
New South Wales,Wingecarribee (A),0.63007873,0.65957516,0.6926935,0.67470336,0.6602912,0.67804587,0.67791075,0.6756703,0.6849005,0.6290846,0.6713955,0.66151893,0.63683236,0.66887426,0.6816844,0.6555869,0.6638715,0.6771613,0.69496423,0.69201547,0.613307,0.6468152,0.6112556,0.65783125,0.63365984,0.6880156,0.6828245,0.63889354,0.69258803,0.7101792,0.6955075,0.68671066,0.6848487,0.7109507,0.68576735,0.6900719,0.63154,0.6499089,0.66668326,0.70310134,0.7235289
New South Wales,Wollondilly (A),0.64808834,0.6702973,0.69477975,0.6771424,0.66858315,0.6838874,0.6863844,0.67860895,0.689757,0.64109075,0.67528313,0.6725594,0.6411136,0.68308353,0.68081766,0.6591336,0.6753024,0.6836738,0.6965512,0.6979909,0.6327242,0.63866305,0.6493092,0.66877365,0.6618655,0.6951609,0.70189184,0.6578287,0.71088046,0.725946,0.7156904,0.7076475,0.69048977,0.7237729,0.7046092,0.70826924,0.6436137,0.67780966,0.65014505,0.7148053,0.73059267
Queensland,Banana (S),0.40409178,0.46731648,0.46469367,0.4429162,0.4367983,0.41438508,0.42748833,0.47745326,0.43374875,0.39702997,0.41894004,0.37389863,0.3943494,0.40649593,0.44744346,0.43291974,0.4747781,0.44844407,0.44161895,0.40833542,0.3921357,0.4319671,0.42063826,0.4280332,0.37212393,0.3959462,0.46375355,0.39604908,0.52925557,0.5063865,0.46401724,0.45457974,0.40985927,0.46551722,0.43086204,0.43911064,0.43898892,0.36667573,0.42025697,0.45424223,0.5186466
Queensland,Brisbane (C),0.5242195,0.5384013,0.5412217,0.5335121,0.49006796,0.529856,0.534578,0.52838826,0.5198979,0.48097816,0.527042,0.49030912,0.5055273,0.49955827,0.53550756,0.50871104,0.5270978,0.5566915,0.50927484,0.51467204,0.489743,0.510544,0.50745475,0.50486165,0.49957445,0.4741733,0.528421,0.51479113,0.5503449,0.54036164,0.5172068,0.52125216,0.48669124,0.5369803,0.5027637,0.52472997,0.52716696,0.48423842,0.51196414,0.54734963,0.5641665
Queensland,Bundaberg (R),0.5642915,0.5887422,0.591925,0.5790412,0.57709396,0.577953,0.56333715,0.5983412,0.5525114,0.53015196,0.59059954,0.5511994,0.55320257,0.5605035,0.5861146,0.5545785,0.5957636,0.6089991,0.57738036,0.56216866,0.5215792,0.5762905,0.5949184,0.5720245,0.57107717,0.5575428,0.6052234,0.5700194,0.64438045,0.63241184,0.61780024,0.5795597,0.5522895,0.61350507,0.60045016,0.60117066,0.60940707,0.5177742,0.55263484,0.5765609,0.6564206
Queensland,Central Highlands (R),0.36603284,0.4388767,0.4231342,0.40416643,0.3978231,0.3969687,0.415891,0.43937406,0.4117538,0.38532335,0.3708583,0.35529396,0.36770722,0.36558047,0.40554032,0.405883,0.4460474,0.411661,0.4391275,0.3973442,0.3546498,0.35732195,0.36733663,0.39157507,0.35464984,0.38776186,0.44034898,0.38194853,0.4985097,0.48543042,0.4576696,0.41319382,0.38414386,0.39297727,0.42632762,0.4159842,0.386024,0.36590376,0.37963614,0.40996388,0.4795423
