ADM1_NAME,ADM2_NAME,year,fire_events,total_area_ha,max_area_ha,major_fires
New South Wales,Clarence Valley (A),1978,2,74.67633807,53.04750072,0
New South Wales,Clarence Valley (A),1979,3,325.64768730000003,173.10509816,0
New South Wales,Clarence Valley (A),1980,19,15049.524598510001,7003.50194576,0
New South Wales,Clarence Valley (A),1982,1,1015.3227739,1015.3227739,0
New South Wales,Clarence Valley (A),1985,2,2.10930125,2.08074269,0
New South Wales,Clarence Valley (A),1986,14,7449.00089719,2066.47159599,0
New South Wales,Clarence Valley (A),1987,19,945.8602462200001,370.92324617,0
New South Wales,Clarence Valley (A),1988,8,3191.0807785800002,1770.85977707,0
New South Wales,Clarence Valley (A),1989,6,2575.38897186,767.38062336,0
New South Wales,Clarence Valley (A),1990,2,1976.01904655,1474.25002015,0
New South Wales,Clarence Valley (A),1991,10,5003.64611146,1960.78844606,0
New South Wales,Clarence Valley (A),1993,20,2925.21501073,527.10390504,0
New South Wales,Clarence Valley (A),1994,32,37990.68625814,16173.86381744,1
New South Wales,Clarence Valley (A),1995,10,6003.62309147,4309.40754751,0
New South Wales,Clarence Valley (A),1996,33,7355.39779689,2062.1149641,0
New South Wales,Clarence Valley (A),1997,7,864.81722892,297.85058872,0
New South Wales,Clarence Valley (A),1998,11,2495.08879164,1142.8994014,0
New South Wales,Clarence Valley (A),1999,4,1033.14837867,701.86981039,0
New South Wales,Clarence Valley (A),2000,42,96732.4767899,25937.08006352,3
New South Wales,Clarence Valley (A),2001,67,88901.50290213,21917.35307715,4
New South Wales,Clarence Valley (A),2002,130,197203.73458679998,36770.21231343,5
New South Wales,Clarence Valley (A),2003,49,24760.11263851,2904.85819098,0
New South Wales,Clarence Valley (A),2004,41,22139.2491783,9226.89490729,0
New South Wales,Clarence Valley (A),2005,81,16831.74437247,2223.56185156,0
New South Wales,Clarence Valley (A),2006,16,2834.34052213,1446.49084525,0
New South Wales,Clarence Valley (A),2007,48,19886.762249580002,4742.46732862,0
New South Wales,Clarence Valley (A),2008,34,12715.249761519999,2233.02619101,0
New South Wales,Clarence Valley (A),2009,74,58240.67155911,13737.09962389,1
New South Wales,Clarence Valley (A),2010,11,3010.4130194599998,1014.66959674,0
New South Wales,Clarence Valley (A),2011,31,3534.62941729,1050.50795537,0
New South Wales,Clarence Valley (A),2012,40,20690.850285120003,7103.91630701,0
New South Wales,Clarence Valley (A),2013,137,54438.51917771,12470.82300099,1
New South Wales,Clarence Valley (A),2014,44,24784.7644759,4116.86860866,0
New South Wales,Clarence Valley (A),2015,25,5272.40211423,877.82955897,0
New South Wales,Clarence Valley (A),2016,38,22298.75068409,5364.85770906,0
New South Wales,Clarence Valley (A),2017,31,12023.49055556,3239.88597097,0
New South Wales,Clarence Valley (A),2018,43,45470.04393488,6277.93664221,0
New South Wales,Clarence Valley (A),2019,90,385434.51909787,174036.61339937,5
New South Wales,Clarence Valley (A),2020,14,1379.24713179,370.71582016,0
New South Wales,Clarence Valley (A),2021,12,1611.42298776,522.69771271,0
New South Wales,Clarence Valley (A),2022,15,319.88333231,119.51930975,0
New South Wales,Clarence Valley (A),2023,56,34882.47505908,12778.50508844,1
New South Wales,Clarence Valley (A),2024,19,7958.87630765,4361.03589828,0
New South Wales,Clarence Valley (A),2025,44,13799.12947951,3969.72574306,0
New South Wales,Clarence Valley (A),2026,12,3242.17978277,1321.59462417,0
New South Wales,Cooma-Monaro (A),1974,1,3866.88488723,3866.88488723,0
New South Wales,Cooma-Monaro (A),1987,1,440.7976108,440.7976108,0
New South Wales,Cooma-Monaro (A),1990,1,1492.15382895,1492.15382895,0
New South Wales,Cooma-Monaro (A),1999,2,760.46492629,754.94418394,0
New South Wales,Cooma-Monaro (A),2001,1,28.16172491,28.16172491,0
New South Wales,Cooma-Monaro (A),2003,1,115.02756656,115.02756656,0
New South Wales,Cooma-Monaro (A),2005,2,1315.88713262,1085.3939745,0
New South Wales,Cooma-Monaro (A),2006,1,1216.26607639,1216.26607639,0
New South Wales,Cooma-Monaro (A),2007,1,356.90204004,356.90204004,0
New South Wales,Cooma-Monaro (A),2009,7,1356.15457187,756.17324907,0
New South Wales,Cooma-Monaro (A),2010,4,6724.90527677,6690.21244289,0
New South Wales,Cooma-Monaro (A),2013,7,14388.53735118,12331.60392766,1
New South Wales,Cooma-Monaro (A),2014,5,275.38256571,144.1860022,0
New South Wales,Cooma-Monaro (A),2015,1,0.0114479,0.0114479,0
New South Wales,Cooma-Monaro (A),2016,3,123.50686447999999,77.80429887,0
New South Wales,Cooma-Monaro (A),2017,2,290.72427456,290.40830806,0
New South Wales,Cooma-Monaro (A),2018,2,316.08672027,315.93390153,0
New South Wales,Cooma-Monaro (A),2019,48,57.451219779999995,17.62622877,0
New South Wales,Cooma-Monaro (A),2020,54,14357.15889352,5538.91918973,0
New South Wales,Cooma-Monaro (A),2022,1,20.80604472,20.80604472,0
New South Wales,Cooma-Monaro (A),2023,5,985.7150670799999,649.82526315,0
New South Wales,Cooma-Monaro (A),2024,6,332.43530382000006,330.00920407,0
New South Wales,Cooma-Monaro (A),2025,2,55.36014531,33.37656595,0
New South Wales,Cooma-Monaro (A),2026,24,699.7089087100001,429.16551577,0
New South Wales,Eurobodalla (A),1983,2,294.75448432999997,197.22376039,0
New South Wales,Eurobodalla (A),1984,4,96.87662993000001,45.98311592,0
New South Wales,Eurobodalla (A),1985,1,19.2825711,19.2825711,0
New South Wales,Eurobodalla (A),1986,2,64.36301234,43.83809731,0
New South Wales,Eurobodalla (A),1988,1,33.58405638,33.58405638,0
New South Wales,Eurobodalla (A),1989,1,167.33089282,167.33089282,0
New South Wales,Eurobodalla (A),1990,9,707.40149589,144.33977637,0
New South Wales,Eurobodalla (A),1991,5,1330.05509701,625.20641256,0
New South Wales,Eurobodalla (A),1992,2,114.68345845,70.47614561,0
New South Wales,Eurobodalla (A),1993,7,2264.13571787,873.70744628,0
New South Wales,Eurobodalla (A),1994,14,15005.3413382,6941.6399654,0
New South Wales,Eurobodalla (A),1995,35,19221.95086685,13595.28700117,1
New South Wales,Eurobodalla (A),1996,27,7448.87916348,2376.1988739,0
New South Wales,Eurobodalla (A),1997,25,3873.1888343200003,897.83165824,0
New South Wales,Eurobodalla (A),1998,17,2495.55379717,383.23098098,0
New South Wales,Eurobodalla (A),1999,19,12606.101040779999,7377.52503586,0
New South Wales,Eurobodalla (A),2000,14,4403.18727021,1582.46469294,0
New South Wales,Eurobodalla (A),2001,10,2644.82306659,763.89074127,0
New South Wales,Eurobodalla (A),2002,18,4643.45266406,2673.16975492,0
New South Wales,Eurobodalla (A),2003,38,5426.62713009,1661.51918955,0
New South Wales,Eurobodalla (A),2004,53,17789.750208769998,2522.18060411,0
New South Wales,Eurobodalla (A),2005,47,9372.3799327,3105.91747362,0
New South Wales,Eurobodalla (A),2006,22,1980.31679313,412.16678907,0
New South Wales,Eurobodalla (A),2007,1,1.24696871,1.24696871,0
New South Wales,Eurobodalla (A),2008,5,849.4492156299999,560.49791908,0
New South Wales,Eurobodalla (A),2009,22,5535.7709218,3081.92184896,0
New South Wales,Eurobodalla (A),2010,9,2046.0545005000001,1989.88374546,0
New South Wales,Eurobodalla (A),2011,3,34.15193274,21.19278257,0
New South Wales,Eurobodalla (A),2012,1,75.98179631,75.98179631,0
New South Wales,Eurobodalla (A),2013,15,3383.0114470599997,787.95185995,0
New South Wales,Eurobodalla (A),2014,14,1760.5266282500002,610.76586092,0
New South Wales,Eurobodalla (A),2015,8,858.24282239,282.75339785,0
