ADM1_NAME,ADM2_NAME,fire_count,total_area_ha,earliest_fire,latest_fire,avg_area_ha_per_fire
South Australia,Northern Areas (DC),28,6016.58953594,2006-01-20,2025-12-16,214.87819771214285
Western Australia,Upper Gascoyne (S),27,58781.59555208,2000-01-01,2026-04-24,2177.0961315585187
South Australia,Tumby Bay (DC),27,10570.57323276,1953-12-11,2026-03-24,391.5027123244444
South Australia,Robe (DC),27,3884.65051431,1973-12-31,2025-05-12,143.87594497444445
New South Wales,Central Darling (A),26,2917.8339766100003,2006-01-17,2026-01-29,112.22438371576924
Western Australia,Yalgoo (S),26,130938.39286682001,1992-09-16,2026-01-09,5036.092033339231
South Australia,Salisbury (C),26,121.10384811,1995-12-29,2026-01-21,4.657840311923077
New South Wales,Berrigan (A),25,855.73816726,1981-01-02,2026-01-01,34.2295266904
South Australia,Wudinna (DC),25,42681.28346389,1972-12-23,2023-12-28,1707.2513385556001
Western Australia,Bunbury (C),25,472.91036055999996,1996-01-01,2025-12-01,18.9164144224
South Australia,Marion (C),24,271.33937741,2005-01-11,2025-05-14,11.305807392083333
South Australia,Victor Harbor (C),23,654.76206184,1981-01-13,2025-10-13,28.467915732173914
New South Wales,Corowa Shire (A),23,130.59671765,1985-01-02,2026-04-19,5.678118158695652
Western Australia,Perenjori (S),23,49150.57868862,1991-09-16,2025-01-31,2136.981682113913
