ADM1_NAME,ADM2_NAME,year,sightings
New South Wales,Gloucester (A),2009,22
New South Wales,Gloucester (A),2010,34
New South Wales,Gloucester (A),2011,77
New South Wales,Gloucester (A),2012,69
New South Wales,Gloucester (A),2013,43
New South Wales,Gloucester (A),2014,48
New South Wales,Gloucester (A),2015,25
New South Wales,Gloucester (A),2016,50
New South Wales,Gloucester (A),2017,33
New South Wales,Gloucester (A),2018,55
New South Wales,Gloucester (A),2019,54
New South Wales,Gloucester (A),2020,82
New South Wales,Gloucester (A),2021,69
New South Wales,Gloucester (A),2022,108
New South Wales,Gloucester (A),2023,684
New South Wales,Gloucester (A),2024,455
New South Wales,Gloucester (A),2025,401
New South Wales,Gloucester (A),2026,59
New South Wales,Great Lakes (A),1990,4
New South Wales,Great Lakes (A),1991,11
New South Wales,Great Lakes (A),1992,131
New South Wales,Great Lakes (A),1993,52
New South Wales,Great Lakes (A),1994,109
New South Wales,Great Lakes (A),1995,51
New South Wales,Great Lakes (A),1996,33
New South Wales,Great Lakes (A),1997,87
New South Wales,Great Lakes (A),1998,79
New South Wales,Great Lakes (A),1999,110
New South Wales,Great Lakes (A),2000,124
New South Wales,Great Lakes (A),2001,231
New South Wales,Great Lakes (A),2002,152
New South Wales,Great Lakes (A),2003,58
New South Wales,Great Lakes (A),2004,260
New South Wales,Great Lakes (A),2005,312
New South Wales,Great Lakes (A),2006,480
New South Wales,Great Lakes (A),2007,552
New South Wales,Great Lakes (A),2008,761
New South Wales,Great Lakes (A),2009,403
New South Wales,Great Lakes (A),2010,222
New South Wales,Great Lakes (A),2011,294
New South Wales,Great Lakes (A),2012,206
New South Wales,Great Lakes (A),2013,306
New South Wales,Great Lakes (A),2014,276
New South Wales,Great Lakes (A),2015,191
New South Wales,Great Lakes (A),2016,270
New South Wales,Great Lakes (A),2017,255
New South Wales,Great Lakes (A),2018,239
New South Wales,Great Lakes (A),2019,231
New South Wales,Great Lakes (A),2020,237
New South Wales,Great Lakes (A),2021,139
New South Wales,Great Lakes (A),2022,269
New South Wales,Great Lakes (A),2023,12708
New South Wales,Great Lakes (A),2024,818
New South Wales,Great Lakes (A),2025,930
New South Wales,Great Lakes (A),2026,43
New South Wales,Greater Taree (C),1990,8
New South Wales,Greater Taree (C),1991,177
New South Wales,Greater Taree (C),1992,47
New South Wales,Greater Taree (C),1993,108
New South Wales,Greater Taree (C),1994,34
New South Wales,Greater Taree (C),1995,54
New South Wales,Greater Taree (C),1996,90
New South Wales,Greater Taree (C),1997,89
New South Wales,Greater Taree (C),1998,72
New South Wales,Greater Taree (C),1999,73
New South Wales,Greater Taree (C),2000,63
New South Wales,Greater Taree (C),2001,32
New South Wales,Greater Taree (C),2002,46
New South Wales,Greater Taree (C),2003,77
New South Wales,Greater Taree (C),2004,38
New South Wales,Greater Taree (C),2005,67
New South Wales,Greater Taree (C),2006,51
New South Wales,Greater Taree (C),2007,90
New South Wales,Greater Taree (C),2008,22
New South Wales,Greater Taree (C),2009,40
New South Wales,Greater Taree (C),2010,70
New South Wales,Greater Taree (C),2011,102
New South Wales,Greater Taree (C),2012,133
New South Wales,Greater Taree (C),2013,173
New South Wales,Greater Taree (C),2014,128
New South Wales,Greater Taree (C),2015,99
New South Wales,Greater Taree (C),2016,167
New South Wales,Greater Taree (C),2017,326
New South Wales,Greater Taree (C),2018,155
New South Wales,Greater Taree (C),2019,364
New South Wales,Greater Taree (C),2020,349
New South Wales,Greater Taree (C),2021,383
New South Wales,Greater Taree (C),2022,753
New South Wales,Greater Taree (C),2023,1612
New South Wales,Greater Taree (C),2024,1627
New South Wales,Greater Taree (C),2025,649
New South Wales,Greater Taree (C),2026,74
New South Wales,Guyra (A),1990,1
New South Wales,Guyra (A),1991,2
New South Wales,Guyra (A),1992,34
New South Wales,Guyra (A),1993,3
New South Wales,Guyra (A),1994,3
New South Wales,Guyra (A),1995,7
New South Wales,Guyra (A),1996,6
New South Wales,Guyra (A),1997,28
New South Wales,Guyra (A),1998,6
New South Wales,Guyra (A),1999,17
New South Wales,Guyra (A),2000,10
New South Wales,Guyra (A),2001,7
New South Wales,Guyra (A),2002,23
New South Wales,Guyra (A),2003,12
New South Wales,Guyra (A),2004,4
New South Wales,Guyra (A),2005,13
New South Wales,Guyra (A),2006,6
New South Wales,Guyra (A),2007,13
